,end,err_imf_avg,imf_avg,start,x_avg,y_avg,z_avg
0,2002-07-03 23:50:00,0.6691278343784098,2.3432857083156704,2002-07-03 22:45:00,-2.4674417561719397,-9.984662645469426,7.5555642756239205
1,2002-07-04 16:00:00,0.4825917228574651,2.7323999929428107,2002-07-04 15:40:00,-10.01139538533982,-16.39033118819652,0.5309998430387693
2,2002-07-04 17:05:00,0.5900989101387222,3.0000000039736427,2002-07-04 16:10:00,-10.184612567362528,-16.319376863914613,0.9890519541673207
3,2002-07-04 17:40:00,0.17892009638907763,3.730999986330668,2002-07-04 17:15:00,-10.34947417987757,-16.21671113901533,1.469497200858055
4,2002-07-05 02:30:00,1.224121183360278,-1.0436363705857234,2002-07-05 01:40:00,-10.794009788673106,-13.326693397639874,6.097458654984947
5,2002-07-05 04:05:00,0.36864324697407364,-1.3174166480700176,2002-07-05 03:40:00,-10.569978548631822,-12.317768011301206,6.915110134463454
6,2002-07-05 20:05:00,3.9886227839926995,-0.752909106253223,2002-07-05 19:15:00,-0.9900400964598108,2.5685563847547837,5.769723605542159
7,2002-07-05 22:35:00,3.41191280237683,3.661090882257982,2002-07-05 21:45:00,2.0212468429388846,3.780539661249126,0.8312952155363081
8,2002-07-06 06:05:00,3.5056616608565023,3.749875004589558,2002-07-06 05:30:00,-0.977162140951185,-7.135751844294459,7.8448045832679325
9,2002-07-07 12:10:00,1.5197572608669767,-0.9525401992624735,2002-07-06 22:05:00,-11.0726351944011,-14.894787040542163,3.033228692512949
10,2002-07-07 14:45:00,1.646707440853702,-2.421142850017974,2002-07-07 13:05:00,-10.845609943867675,-11.279802079362586,7.327465973047515
11,2002-07-07 15:25:00,0.37854335891527535,-3.6103333632151284,2002-07-07 15:00:00,-10.524355150944382,-10.42280123476168,7.833987338460733
12,2002-07-08 04:35:00,0.2727807461765654,-0.41933333699901904,2002-07-08 04:25:00,-1.1922251870454665,2.391095066185319,6.099670381415791
13,2002-07-08 05:20:00,0.8820027943436836,-1.812571424671582,2002-07-08 04:50:00,-0.4349395699262281,2.9361167791555483,5.261968293831424
14,2002-07-08 08:15:00,0.6070336942056405,1.3442857115928617,2002-07-08 07:45:00,2.7104513756530713,3.1799224163060296,1.173307621588896
15,2002-07-08 17:25:00,1.2932209397716246,1.1457499998932084,2002-07-08 17:00:00,-3.0819337623606966,-9.569429184324806,7.611180871658033
16,2002-07-08 19:15:00,2.34625613552839,4.177441157006165,2002-07-08 17:55:00,-4.084297413832901,-10.76187134718901,7.2555605824184966
17,2002-07-08 20:20:00,0.09360198501675428,1.1793333431084951,2002-07-08 20:10:00,-5.225605608747973,-12.00439491445613,6.689844608381729
18,2002-07-08 23:30:00,1.3241363035497629,1.8853999948501587,2002-07-08 22:45:00,-6.981117563961701,-13.646507612619683,5.4458326793282055
19,2002-07-09 00:10:00,2.9813306979195313,-3.3183999919891356,2002-07-08 23:50:00,-7.464259927797833,-14.038800816198398,5.020875843666615
20,2002-07-09 04:00:00,1.9692029022240145,3.5364000055193903,2002-07-09 02:50:00,-9.1155862501962,-15.129796473604353,3.221158373881651
21,2002-07-09 04:45:00,1.9123063692374322,6.853428595406668,2002-07-09 04:15:00,-9.565284660403165,-15.3463910128484,2.618898132161356
22,2002-07-09 05:30:00,1.8580590843319273,5.870571483884539,2002-07-09 05:00:00,-9.854183016794853,-15.459447944929028,2.1954840011659975
23,2002-07-09 07:30:00,4.236146010881017,-2.2526666661103563,2002-07-09 07:20:00,-10.590906712708628,-15.63197823470936,0.9532255532883377
24,2002-07-09 10:25:00,1.026915635602307,-5.026500016450883,2002-07-09 10:10:00,-11.34095903311882,-15.523308742740543,0.7129571495840527
25,2002-07-09 13:25:00,3.8776535726374424,1.6653333187103272,2002-07-09 13:15:00,-11.846753518547587,-15.013394025009156,2.4571757442578352
26,2002-07-09 14:20:00,3.4532413142848135,-0.8024999976158141,2002-07-09 14:05:00,-11.935685135771465,-14.793909904253649,2.9491445612933602
27,2002-07-09 15:40:00,1.4334832463010367,-4.963999998569489,2002-07-09 15:05:00,-12.01357714644483,-14.451243917752315,3.5948830638832208
28,2002-07-09 16:30:00,2.48630803788844,-5.292571451408523,2002-07-09 16:00:00,-12.041549880036772,-14.15799269009126,4.070341054331009
29,2002-07-09 19:30:00,2.139990602007983,-1.8873142823576923,2002-07-09 16:40:00,-11.998672556449986,-13.427261923447766,5.030405632665875
30,2002-07-10 14:15:00,1.0867732031328599,0.19499999806284907,2002-07-10 13:20:00,-0.8242949824726625,2.6307617851723957,5.801561764244233
31,2002-07-10 17:10:00,0.23800000345005753,-1.416000000997023,2002-07-10 16:20:00,2.6455387337509455,3.3627231346584665,0.6285869208487322
32,2002-07-11 10:55:00,1.3206971317825742,-2.035428553393909,2002-07-11 10:25:00,-8.83673789716797,-14.28959347041281,4.203959907617104
33,2002-07-11 11:25:00,0.8843332001919716,-2.9832000041007998,2002-07-11 11:05:00,-9.123559880709465,-14.459174383927172,3.894396484068435
34,2002-07-11 16:40:00,0.6877386058270409,1.392985503737261,2002-07-11 14:50:00,-10.949915718643583,-15.16718418376748,1.3775668279500182
35,2002-07-11 17:15:00,0.9103500341803953,1.6689999918142957,2002-07-11 16:50:00,-11.356668236278972,-15.199497724062157,0.6320828755297442
36,2002-07-11 18:15:00,1.9205743726875408,-0.4758181775158103,2002-07-11 17:25:00,-11.57500606441118,-15.17713788330646,0.18920962885803572
37,2002-07-11 18:50:00,1.6697800667619285,0.26766665875911727,2002-07-11 18:25:00,-11.774080468790876,-15.129388374404854,0.286297284570711
